[Measurement Properties]
Wavelength Range (nm.):	740,00 to 1050,00
Scan Speed:	Very Slow
Sampling Interval:	0,2
Auto Sampling Interval:	Disabled
Scan Mode:	Auto

[Instrument Properties]
Instrument Type:	SolidSpec-3700 Series
Measuring Mode:	Transmittance
Slit Width:	5,0 nm
Time Constant:	1,0 sec.
Source Lamp:	WI
Detector Unit:	Integral Sphere
Detector Change Wavelength:	920,00 nm  1650,00 nm
Grating Change Wavelength:	850,00 nm
S/R Exchange:	Normal
Detector Lock:	Auto
Slit Program:	Normal
Beam Mode:	Double
Stair Correction:	Disable

[Attachment Properties]
Attachment:	X-Y Stage
Sequence File:	POSITION_1.xys

[Operation]
Threshold:	0,0010000
Points:	4
InterPolate:	Disabled
Average:	Disabled

[Sample Preparation Properties]
Weight:	
Volume:	
Dilution:	
Path Length:	
Additional Information:	04MAY2015
FILTER#12
BRAZIL

Wavelength nm.	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...
924,00	99,929	98,229	98,081	98,161	98,191	98,210	98,226	98,140	98,125	98,110	97,920	98,160	98,204	98,226	98,199	98,192	98,162	98,213	98,182	98,167	98,143	98,184	98,216	98,214	98,208	98,166	98,174	98,183	98,209	98,164	98,145	98,163	98,213	98,217	98,220	98,193	98,195	98,200	98,214	98,168	98,169	98,163	98,144	98,203	98,211	98,196	98,195	98,159	98,184	98,192	98,183	98,173	98,121	98,177	98,205	98,121	98,189	98,221	98,171	98,200	98,180	98,187	98,185	98,143	98,229	98,065	98,148	98,217	98,229	98,210	98,151	98,131	98,156	98,248	98,178	98,229	98,204	98,227	98,255	98,211	98,195	98,144	98,159	98,192	98,230	98,244	98,181	98,228	98,179	98,207	98,207	98,152	98,176	98,134	98,170	98,218	98,178	98,185	98,166	98,200	98,037	99,952
924,20	100,050	98,224	98,165	98,185	98,176	98,199	98,199	98,171	98,175	98,158	97,942	98,190	98,191	98,222	98,201	98,164	98,211	98,252	98,206	98,201	98,148	98,223	98,192	98,228	98,244	98,243	98,192	98,225	98,237	98,193	98,187	98,186	98,190	98,240	98,240	98,223	98,210	98,221	98,238	98,201	98,189	98,195	98,136	98,252	98,237	98,265	98,237	98,202	98,214	98,268	98,178	98,219	98,191	98,240	98,232	98,135	98,209	98,240	98,212	98,226	98,235	98,224	98,190	98,184	98,199	98,124	98,208	98,209	98,207	98,241	98,204	98,142	98,209	98,228	98,264	98,266	98,184	98,279	98,252	98,259	98,276	98,148	98,239	98,254	98,246	98,234	98,209	98,252	98,264	98,232	98,209	98,180	98,239	98,128	98,230	98,256	98,221	98,220	98,259	98,160	98,126	100,027
924,40	99,936	98,150	98,137	98,124	98,126	98,151	98,141	98,127	98,068	98,096	97,856	98,128	98,133	98,195	98,145	98,135	98,156	98,183	98,147	98,144	98,127	98,140	98,163	98,173	98,170	98,168	98,127	98,160	98,160	98,131	98,119	98,124	98,174	98,164	98,218	98,153	98,150	98,166	98,152	98,128	98,130	98,154	98,092	98,177	98,151	98,150	98,165	98,140	98,149	98,155	98,182	98,086	98,105	98,143	98,132	98,086	98,155	98,172	98,147	98,172	98,114	98,186	98,183	98,099	98,173	98,048	98,146	98,204	98,192	98,148	98,127	98,077	98,097	98,205	98,167	98,152	98,178	98,223	98,191	98,163	98,158	98,134	98,139	98,137	98,217	98,180	98,150	98,175	98,146	98,148	98,184	98,082	98,128	98,075	98,113	98,153	98,121	98,179	98,132	98,146	98,007	99,944
924,60	99,969	98,245	98,110	98,179	98,206	98,206	98,249	98,146	98,179	98,115	97,959	98,199	98,217	98,228	98,210	98,201	98,184	98,237	98,200	98,192	98,150	98,189	98,216	98,226	98,236	98,203	98,185	98,204	98,222	98,172	98,172	98,183	98,212	98,251	98,235	98,215	98,197	98,212	98,239	98,197	98,177	98,173	98,162	98,232	98,255	98,220	98,214	98,171	98,222	98,239	98,198	98,194	98,148	98,229	98,253	98,135	98,209	98,242	98,213	98,228	98,219	98,196	98,168	98,191	98,227	98,077	98,178	98,195	98,210	98,242	98,184	98,157	98,217	98,242	98,232	98,267	98,187	98,238	98,266	98,255	98,228	98,128	98,222	98,238	98,218	98,259	98,178	98,257	98,216	98,233	98,220	98,150	98,214	98,149	98,213	98,253	98,228	98,180	98,229	98,169	98,093	99,991
924,80	100,039	98,191	98,162	98,157	98,157	98,189	98,191	98,152	98,144	98,157	97,926	98,165	98,168	98,211	98,162	98,153	98,206	98,228	98,198	98,203	98,157	98,201	98,159	98,210	98,237	98,251	98,171	98,195	98,236	98,173	98,181	98,165	98,185	98,213	98,248	98,217	98,188	98,205	98,205	98,170	98,166	98,189	98,121	98,235	98,204	98,240	98,230	98,203	98,206	98,233	98,175	98,197	98,181	98,216	98,171	98,116	98,198	98,219	98,222	98,224	98,173	98,231	98,219	98,159	98,185	98,102	98,209	98,224	98,210	98,197	98,187	98,106	98,165	98,223	98,245	98,205	98,206	98,280	98,219	98,232	98,238	98,181	98,230	98,194	98,270	98,202	98,206	98,239	98,253	98,206	98,203	98,155	98,190	98,111	98,167	98,210	98,188	98,234	98,193	98,147	98,081	100,039
925,00	99,924	98,186	98,151	98,135	98,166	98,177	98,164	98,124	98,107	98,091	97,884	98,153	98,161	98,201	98,166	98,159	98,159	98,198	98,174	98,152	98,156	98,150	98,183	98,199	98,177	98,167	98,138	98,150	98,186	98,158	98,141	98,136	98,200	98,205	98,231	98,150	98,171	98,181	98,177	98,134	98,129	98,138	98,132	98,177	98,204	98,166	98,164	98,124	98,181	98,178	98,208	98,098	98,112	98,159	98,188	98,090	98,161	98,197	98,175	98,188	98,154	98,174	98,155	98,137	98,204	98,042	98,129	98,183	98,199	98,176	98,129	98,116	98,153	98,219	98,168	98,200	98,182	98,197	98,231	98,188	98,165	98,096	98,143	98,174	98,188	98,234	98,151	98,205	98,162	98,170	98,202	98,093	98,142	98,108	98,154	98,182	98,174	98,138	98,169	98,158	98,024	99,920
925,20	100,004	98,248	98,126	98,199	98,209	98,209	98,249	98,137	98,195	98,119	97,984	98,213	98,228	98,239	98,210	98,202	98,219	98,257	98,208	98,207	98,175	98,217	98,223	98,242	98,254	98,242	98,217	98,211	98,239	98,209	98,193	98,194	98,216	98,251	98,246	98,213	98,196	98,220	98,239	98,194	98,188	98,190	98,158	98,266	98,265	98,253	98,245	98,210	98,231	98,247	98,208	98,222	98,179	98,250	98,244	98,144	98,211	98,248	98,244	98,237	98,219	98,217	98,204	98,221	98,204	98,115	98,245	98,214	98,214	98,238	98,207	98,151	98,221	98,221	98,291	98,247	98,205	98,256	98,243	98,276	98,261	98,191	98,252	98,263	98,271	98,234	98,223	98,274	98,254	98,259	98,219	98,187	98,233	98,148	98,234	98,253	98,237	98,229	98,254	98,155	98,120	100,061
925,40	100,014	98,169	98,155	98,155	98,156	98,184	98,185	98,143	98,106	98,139	97,898	98,143	98,158	98,200	98,140	98,151	98,202	98,216	98,184	98,193	98,161	98,180	98,146	98,225	98,198	98,221	98,148	98,160	98,210	98,171	98,157	98,155	98,211	98,211	98,247	98,180	98,162	98,197	98,198	98,142	98,137	98,187	98,132	98,206	98,193	98,235	98,195	98,170	98,197	98,201	98,175	98,182	98,161	98,186	98,175	98,104	98,184	98,200	98,205	98,221	98,144	98,208	98,196	98,155	98,207	98,084	98,160	98,223	98,223	98,170	98,144	98,113	98,148	98,248	98,206	98,208	98,225	98,235	98,218	98,205	98,186	98,131	98,152	98,181	98,224	98,244	98,196	98,208	98,224	98,189	98,195	98,127	98,134	98,114	98,149	98,182	98,181	98,175	98,166	98,178	98,040	99,962
925,60	99,914	98,212	98,152	98,154	98,181	98,185	98,169	98,113	98,136	98,080	97,914	98,189	98,197	98,193	98,179	98,178	98,175	98,193	98,177	98,142	98,159	98,154	98,195	98,214	98,183	98,173	98,156	98,159	98,194	98,170	98,139	98,146	98,183	98,210	98,225	98,140	98,164	98,188	98,198	98,139	98,125	98,135	98,141	98,184	98,233	98,172	98,175	98,127	98,187	98,202	98,222	98,100	98,104	98,198	98,213	98,088	98,157	98,204	98,184	98,188	98,180	98,157	98,146	98,175	98,199	98,052	98,186	98,154	98,175	98,195	98,136	98,126	98,196	98,188	98,236	98,222	98,173	98,186	98,210	98,214	98,203	98,104	98,181	98,241	98,179	98,206	98,155	98,230	98,177	98,207	98,205	98,106	98,165	98,140	98,188	98,205	98,205	98,157	98,232	98,121	98,077	99,975
925,80	100,019	98,233	98,130	98,201	98,191	98,217	98,232	98,143	98,163	98,142	97,984	98,202	98,225	98,240	98,186	98,194	98,224	98,255	98,217	98,234	98,175	98,230	98,214	98,249	98,256	98,250	98,202	98,219	98,245	98,210	98,190	98,200	98,236	98,251	98,252	98,237	98,178	98,234	98,242	98,198	98,193	98,207	98,160	98,255	98,251	98,274	98,255	98,238	98,238	98,251	98,227	98,225	98,197	98,240	98,208	98,141	98,223	98,234	98,257	98,248	98,176	98,232	98,231	98,202	98,227	98,127	98,232	98,267	98,242	98,224	98,201	98,131	98,183	98,264	98,289	98,227	98,250	98,290	98,226	98,255	98,252	98,198	98,228	98,238	98,277	98,261	98,237	98,273	98,268	98,264	98,215	98,195	98,197	98,166	98,196	98,233	98,203	98,250	98,215	98,179	98,108	100,057
926,00	99,962	98,150	98,139	98,148	98,129	98,162	98,149	98,124	98,085	98,109	97,863	98,137	98,139	98,164	98,131	98,126	98,170	98,182	98,169	98,155	98,148	98,145	98,143	98,206	98,156	98,164	98,112	98,144	98,177	98,142	98,131	98,126	98,180	98,187	98,227	98,153	98,155	98,175	98,184	98,112	98,109	98,132	98,116	98,152	98,188	98,201	98,160	98,128	98,166	98,168	98,170	98,150	98,129	98,162	98,194	98,071	98,146	98,170	98,184	98,177	98,136	98,153	98,144	98,163	98,201	98,033	98,138	98,154	98,180	98,165	98,105	98,124	98,160	98,214	98,184	98,223	98,182	98,171	98,217	98,191	98,153	98,076	98,130	98,211	98,155	98,229	98,147	98,186	98,177	98,159	98,194	98,081	98,122	98,133	98,161	98,181	98,180	98,128	98,188	98,136	98,045	99,919
926,20	99,932	98,226	98,159	98,175	98,204	98,187	98,168	98,112	98,147	98,112	97,949	98,198	98,233	98,194	98,204	98,180	98,190	98,225	98,188	98,173	98,170	98,170	98,226	98,203	98,216	98,193	98,189	98,185	98,212	98,178	98,159	98,165	98,194	98,230	98,225	98,184	98,170	98,196	98,220	98,181	98,156	98,166	98,141	98,220	98,235	98,196	98,209	98,187	98,197	98,225	98,234	98,123	98,127	98,227	98,206	98,104	98,184	98,211	98,216	98,200	98,169	98,177	98,181	98,209	98,188	98,087	98,221	98,210	98,195	98,207	98,163	98,128	98,193	98,196	98,273	98,209	98,213	98,226	98,186	98,228	98,230	98,172	98,215	98,240	98,241	98,204	98,181	98,236	98,198	98,230	98,217	98,157	98,196	98,139	98,197	98,216	98,194	98,224	98,208	98,123	98,096	100,032
926,40	100,015	98,199	98,115	98,186	98,162	98,193	98,222	98,154	98,133	98,154	97,939	98,169	98,193	98,201	98,168	98,150	98,206	98,231	98,198	98,221	98,163	98,214	98,181	98,242	98,225	98,200	98,158	98,170	98,220	98,180	98,167	98,174	98,229	98,212	98,233	98,224	98,176	98,224	98,217	98,157	98,163	98,172	98,144	98,207	98,210	98,269	98,216	98,198	98,203	98,205	98,196	98,200	98,177	98,186	98,206	98,117	98,198	98,205	98,250	98,230	98,143	98,200	98,206	98,192	98,219	98,090	98,158	98,224	98,228	98,189	98,154	98,137	98,171	98,264	98,214	98,248	98,250	98,229	98,240	98,209	98,196	98,130	98,164	98,229	98,218	98,272	98,198	98,230	98,243	98,218	98,197	98,175	98,145	98,153	98,176	98,207	98,194	98,177	98,203	98,183	98,056	99,963
926,60	99,971	98,160	98,167	98,164	98,162	98,175	98,161	98,118	98,116	98,125	97,877	98,157	98,179	98,178	98,167	98,149	98,171	98,194	98,168	98,133	98,166	98,133	98,179	98,201	98,188	98,176	98,155	98,146	98,201	98,147	98,119	98,150	98,187	98,198	98,220	98,158	98,162	98,187	98,188	98,144	98,122	98,135	98,124	98,165	98,198	98,197	98,169	98,138	98,157	98,191	98,199	98,161	98,128	98,204	98,199	98,092	98,147	98,194	98,177	98,169	98,160	98,157	98,159	98,195	98,181	98,058	98,175	98,154	98,175	98,193	98,125	98,138	98,197	98,172	98,226	98,215	98,180	98,184	98,190	98,214	98,191	98,135	98,187	98,244	98,188	98,181	98,147	98,196	98,173	98,182	98,206	98,098	98,150	98,136	98,191	98,199	98,190	98,185	98,212	98,098	98,079	99,997
926,80	99,971	98,253	98,170	98,202	98,204	98,207	98,180	98,130	98,155	98,144	97,976	98,196	98,234	98,222	98,205	98,206	98,191	98,244	98,209	98,223	98,175	98,203	98,228	98,236	98,249	98,214	98,191	98,191	98,235	98,182	98,169	98,192	98,229	98,233	98,227	98,220	98,171	98,220	98,229	98,200	98,177	98,193	98,157	98,235	98,215	98,224	98,239	98,223	98,202	98,235	98,249	98,146	98,148	98,204	98,190	98,120	98,204	98,224	98,254	98,244	98,150	98,206	98,217	98,208	98,217	98,120	98,200	98,231	98,240	98,202	98,190	98,139	98,183	98,257	98,230	98,230	98,254	98,253	98,217	98,240	98,234	98,173	98,183	98,238	98,252	98,262	98,215	98,235	98,234	98,266	98,202	98,188	98,180	98,146	98,181	98,228	98,172	98,225	98,201	98,150	98,085	100,018
927,00	100,026	98,172	98,110	98,198	98,168	98,199	98,209	98,156	98,136	98,178	97,921	98,165	98,180	98,200	98,180	98,142	98,211	98,216	98,200	98,183	98,184	98,208	98,159	98,246	98,195	98,199	98,155	98,167	98,210	98,171	98,156	98,171	98,219	98,213	98,232	98,192	98,188	98,228	98,223	98,156	98,156	98,163	98,143	98,173	98,212	98,269	98,198	98,165	98,179	98,201	98,182	98,190	98,188	98,196	98,224	98,129	98,181	98,209	98,230	98,213	98,185	98,180	98,174	98,208	98,223	98,063	98,167	98,172	98,225	98,214	98,149	98,178	98,221	98,226	98,211	98,260	98,230	98,193	98,257	98,220	98,199	98,141	98,183	98,259	98,186	98,232	98,183	98,209	98,238	98,217	98,199	98,155	98,162	98,173	98,212	98,208	98,211	98,182	98,260	98,146	98,069	99,970
927,20	99,973	98,217	98,196	98,192	98,196	98,207	98,184	98,142	98,134	98,152	97,918	98,176	98,225	98,203	98,205	98,192	98,178	98,217	98,197	98,164	98,190	98,161	98,220	98,215	98,220	98,196	98,189	98,177	98,231	98,176	98,144	98,172	98,207	98,199	98,224	98,179	98,181	98,207	98,208	98,190	98,159	98,160	98,141	98,206	98,214	98,218	98,208	98,213	98,171	98,233	98,231	98,179	98,132	98,220	98,186	98,119	98,175	98,223	98,198	98,194	98,155	98,177	98,194	98,224	98,202	98,103	98,203	98,225	98,201	98,216	98,182	98,123	98,190	98,214	98,242	98,201	98,220	98,235	98,194	98,245	98,230	98,184	98,198	98,253	98,244	98,216	98,187	98,211	98,202	98,235	98,217	98,146	98,188	98,137	98,203	98,220	98,170	98,237	98,212	98,128	98,102	100,030
927,40	99,997	98,267	98,176	98,226	98,202	98,208	98,190	98,164	98,168	98,174	97,985	98,205	98,240	98,231	98,226	98,196	98,219	98,248	98,223	98,229	98,191	98,251	98,225	98,273	98,242	98,209	98,179	98,212	98,224	98,196	98,176	98,196	98,244	98,226	98,239	98,201	98,193	98,244	98,262	98,203	98,183	98,216	98,166	98,223	98,228	98,259	98,240	98,215	98,211	98,228	98,246	98,148	98,171	98,191	98,223	98,151	98,214	98,215	98,258	98,257	98,180	98,218	98,218	98,205	98,250	98,112	98,174	98,223	98,269	98,217	98,189	98,188	98,213	98,287	98,219	98,271	98,280	98,243	98,273	98,241	98,230	98,152	98,188	98,271	98,219	98,281	98,221	98,235	98,253	98,286	98,209	98,202	98,192	98,174	98,221	98,221	98,215	98,210	98,259	98,195	98,082	99,982
927,60	100,036	98,162	98,124	98,190	98,171	98,203	98,201	98,144	98,140	98,180	97,910	98,170	98,189	98,199	98,192	98,153	98,215	98,204	98,199	98,151	98,178	98,197	98,175	98,221	98,193	98,200	98,165	98,180	98,212	98,159	98,149	98,161	98,206	98,190	98,221	98,186	98,189	98,219	98,221	98,175	98,163	98,163	98,137	98,184	98,209	98,264	98,195	98,187	98,168	98,216	98,165	98,180	98,174	98,224	98,218	98,144	98,178	98,224	98,203	98,184	98,186	98,158	98,172	98,220	98,212	98,061	98,200	98,194	98,201	98,239	98,164	98,160	98,212	98,199	98,246	98,222	98,216	98,226	98,222	98,230	98,230	98,181	98,215	98,266	98,219	98,190	98,167	98,214	98,226	98,233	98,202	98,149	98,197	98,173	98,227	98,225	98,196	98,236	98,243	98,127	98,105	100,023
927,80	99,972	98,247	98,212	98,200	98,218	98,203	98,209	98,162	98,158	98,175	97,945	98,196	98,242	98,216	98,206	98,222	98,174	98,237	98,213	98,209	98,189	98,194	98,229	98,225	98,245	98,192	98,181	98,188	98,237	98,172	98,159	98,186	98,227	98,209	98,229	98,207	98,197	98,230	98,228	98,220	98,173	98,204	98,143	98,226	98,216	98,215	98,239	98,225	98,185	98,247	98,247	98,174	98,149	98,198	98,186	98,127	98,197	98,233	98,229	98,232	98,148	98,212	98,222	98,204	98,221	98,118	98,171	98,240	98,239	98,201	98,204	98,141	98,169	98,274	98,201	98,229	98,259	98,279	98,240	98,241	98,234	98,145	98,173	98,229	98,227	98,260	98,214	98,225	98,225	98,274	98,211	98,175	98,186	98,144	98,189	98,217	98,186	98,216	98,216	98,176	98,078	99,995
928,00	100,020	98,251	98,160	98,217	98,194	98,205	98,185	98,177	98,194	98,207	97,986	98,206	98,232	98,238	98,250	98,190	98,222	98,238	98,221	98,203	98,190	98,252	98,207	98,265	98,221	98,211	98,175	98,208	98,228	98,197	98,175	98,180	98,239	98,226	98,248	98,216	98,228	98,269	98,264	98,202	98,197	98,206	98,168	98,218	98,224	98,257	98,227	98,206	98,206	98,227	98,218	98,148	98,204	98,227	98,245	98,170	98,208	98,236	98,244	98,240	98,210	98,205	98,202	98,226	98,258	98,084	98,205	98,207	98,255	98,275	98,193	98,209	98,243	98,233	98,230	98,276	98,263	98,237	98,288	98,240	98,231	98,188	98,231	98,294	98,219	98,229	98,205	98,245	98,261	98,275	98,208	98,200	98,219	98,200	98,253	98,242	98,236	98,247	98,283	98,179	98,119	100,012
928,20	100,031	98,185	98,146	98,197	98,194	98,212	98,228	98,176	98,165	98,202	97,929	98,198	98,218	98,226	98,182	98,182	98,211	98,224	98,204	98,186	98,210	98,194	98,203	98,214	98,237	98,221	98,174	98,181	98,253	98,176	98,172	98,180	98,224	98,219	98,232	98,223	98,207	98,236	98,225	98,230	98,176	98,193	98,152	98,226	98,220	98,254	98,228	98,227	98,189	98,258	98,194	98,193	98,179	98,222	98,207	98,150	98,188	98,243	98,208	98,208	98,160	98,191	98,200	98,233	98,215	98,102	98,193	98,249	98,222	98,237	98,219	98,138	98,175	98,243	98,237	98,215	98,235	98,279	98,229	98,258	98,255	98,179	98,194	98,218	98,251	98,242	98,201	98,222	98,225	98,235	98,226	98,168	98,221	98,151	98,211	98,244	98,180	98,238	98,204	98,156	98,103	100,024
928,40	99,986	98,295	98,243	98,220	98,230	98,211	98,243	98,190	98,209	98,214	97,981	98,227	98,249	98,247	98,249	98,244	98,193	98,249	98,230	98,233	98,208	98,230	98,240	98,262	98,255	98,219	98,190	98,204	98,256	98,189	98,206	98,199	98,247	98,230	98,247	98,216	98,221	98,257	98,262	98,219	98,186	98,236	98,166	98,247	98,235	98,228	98,246	98,219	98,208	98,251	98,268	98,204	98,201	98,208	98,229	98,155	98,215	98,250	98,245	98,264	98,203	98,233	98,241	98,220	98,266	98,123	98,183	98,234	98,287	98,262	98,216	98,212	98,233	98,262	98,211	98,294	98,284	98,261	98,314	98,252	98,225	98,174	98,220	98,273	98,228	98,269	98,251	98,247	98,261	98,289	98,238	98,208	98,209	98,168	98,234	98,221	98,240	98,217	98,275	98,210	98,098	99,987
928,60	100,041	98,226	98,158	98,220	98,184	98,214	98,184	98,190	98,203	98,227	97,979	98,204	98,219	98,231	98,219	98,181	98,229	98,218	98,221	98,191	98,202	98,246	98,205	98,252	98,230	98,236	98,181	98,194	98,240	98,191	98,191	98,181	98,233	98,224	98,229	98,222	98,229	98,269	98,250	98,228	98,192	98,208	98,177	98,235	98,234	98,260	98,220	98,211	98,217	98,274	98,197	98,152	98,200	98,239	98,238	98,171	98,204	98,248	98,233	98,226	98,201	98,180	98,198	98,233	98,246	98,091	98,227	98,252	98,225	98,273	98,212	98,172	98,216	98,213	98,261	98,237	98,245	98,267	98,253	98,267	98,265	98,213	98,235	98,252	98,255	98,225	98,204	98,239	98,256	98,256	98,217	98,192	98,231	98,173	98,248	98,257	98,190	98,261	98,226	98,145	98,141	100,043
928,80	100,000	98,179	98,146	98,173	98,188	98,194	98,227	98,161	98,158	98,185	97,919	98,193	98,206	98,232	98,165	98,192	98,184	98,197	98,200	98,194	98,198	98,178	98,192	98,216	98,243	98,213	98,140	98,170	98,240	98,152	98,165	98,173	98,231	98,199	98,217	98,193	98,179	98,223	98,192	98,211	98,157	98,189	98,147	98,217	98,208	98,227	98,222	98,200	98,172	98,250	98,189	98,178	98,170	98,171	98,184	98,122	98,173	98,216	98,211	98,221	98,148	98,211	98,221	98,187	98,217	98,101	98,150	98,230	98,239	98,201	98,203	98,150	98,159	98,246	98,187	98,248	98,232	98,265	98,266	98,235	98,226	98,126	98,164	98,204	98,213	98,252	98,221	98,214	98,214	98,233	98,224	98,153	98,180	98,115	98,181	98,198	98,180	98,175	98,221	98,169	98,059	99,972
929,00	99,997	98,295	98,244	98,231	98,225	98,211	98,253	98,198	98,225	98,236	98,017	98,222	98,245	98,271	98,262	98,261	98,222	98,249	98,246	98,231	98,211	98,259	98,242	98,292	98,247	98,242	98,190	98,217	98,248	98,224	98,207	98,209	98,245	98,248	98,263	98,225	98,236	98,277	98,267	98,228	98,209	98,243	98,204	98,256	98,261	98,236	98,245	98,210	98,241	98,282	98,269	98,209	98,217	98,268	98,258	98,174	98,231	98,256	98,240	98,278	98,246	98,215	98,231	98,242	98,306	98,111	98,246	98,242	98,271	98,294	98,214	98,215	98,263	98,235	98,272	98,278	98,269	98,265	98,294	98,270	98,259	98,225	98,266	98,291	98,253	98,248	98,248	98,250	98,280	98,300	98,230	98,215	98,233	98,195	98,283	98,253	98,222	98,273	98,271	98,174	98,166	100,028
929,20	100,019	98,183	98,122	98,178	98,161	98,193	98,159	98,176	98,163	98,196	97,942	98,178	98,183	98,221	98,147	98,151	98,215	98,189	98,192	98,179	98,185	98,206	98,181	98,197	98,223	98,229	98,126	98,162	98,213	98,173	98,151	98,170	98,199	98,202	98,206	98,189	98,184	98,232	98,199	98,222	98,163	98,183	98,156	98,206	98,218	98,233	98,208	98,212	98,200	98,243	98,171	98,125	98,165	98,187	98,200	98,130	98,181	98,204	98,218	98,207	98,144	98,172	98,188	98,200	98,215	98,082	98,183	98,246	98,206	98,202	98,199	98,118	98,151	98,235	98,219	98,219	98,213	98,268	98,230	98,245	98,250	98,142	98,164	98,187	98,234	98,241	98,194	98,193	98,224	98,206	98,199	98,150	98,206	98,128	98,191	98,225	98,156	98,182	98,196	98,126	98,090	99,981
929,40	99,985	98,200	98,162	98,177	98,226	98,192	98,233	98,163	98,183	98,199	97,942	98,204	98,225	98,247	98,215	98,210	98,189	98,211	98,205	98,198	98,212	98,203	98,213	98,248	98,235	98,213	98,152	98,186	98,243	98,174	98,160	98,196	98,215	98,215	98,239	98,192	98,197	98,231	98,208	98,190	98,182	98,203	98,164	98,220	98,221	98,226	98,223	98,182	98,191	98,246	98,198	98,195	98,190	98,213	98,216	98,133	98,189	98,220	98,213	98,244	98,204	98,221	98,220	98,189	98,258	98,077	98,183	98,214	98,252	98,251	98,194	98,194	98,217	98,206	98,218	98,261	98,245	98,232	98,277	98,225	98,209	98,152	98,218	98,239	98,213	98,241	98,236	98,225	98,214	98,247	98,233	98,164	98,183	98,155	98,220	98,194	98,221	98,216	98,253	98,176	98,095	99,976
929,60	99,991	98,291	98,238	98,220	98,212	98,203	98,247	98,209	98,227	98,227	98,013	98,217	98,228	98,258	98,214	98,246	98,240	98,249	98,238	98,221	98,197	98,249	98,242	98,263	98,256	98,254	98,182	98,208	98,250	98,226	98,190	98,224	98,225	98,249	98,241	98,224	98,234	98,273	98,250	98,245	98,204	98,239	98,208	98,257	98,258	98,235	98,230	98,233	98,247	98,280	98,255	98,216	98,207	98,273	98,247	98,172	98,226	98,247	98,237	98,257	98,201	98,193	98,217	98,252	98,274	98,104	98,245	98,277	98,225	98,266	98,220	98,176	98,217	98,244	98,282	98,242	98,261	98,291	98,248	98,277	98,275	98,210	98,243	98,259	98,283	98,257	98,225	98,235	98,269	98,291	98,220	98,200	98,253	98,188	98,250	98,275	98,203	98,254	98,218	98,145	98,171	100,052
929,80	99,998	98,139	98,088	98,142	98,166	98,176	98,134	98,149	98,140	98,159	97,904	98,152	98,156	98,204	98,142	98,120	98,189	98,174	98,162	98,158	98,173	98,163	98,170	98,176	98,220	98,203	98,105	98,150	98,197	98,142	98,114	98,161	98,173	98,188	98,179	98,152	98,154	98,201	98,173	98,187	98,141	98,170	98,132	98,197	98,175	98,205	98,195	98,169	98,147	98,208	98,131	98,111	98,146	98,158	98,179	98,099	98,149	98,173	98,190	98,198	98,136	98,179	98,180	98,156	98,195	98,040	98,123	98,191	98,211	98,188	98,173	98,141	98,151	98,195	98,168	98,226	98,196	98,226	98,233	98,206	98,195	98,096	98,161	98,167	98,188	98,222	98,191	98,175	98,188	98,177	98,197	98,129	98,159	98,108	98,150	98,168	98,190	98,154	98,197	98,130	98,047	99,927
930,00	99,987	98,227	98,175	98,209	98,240	98,200	98,246	98,165	98,207	98,223	97,991	98,207	98,233	98,260	98,238	98,241	98,208	98,234	98,231	98,215	98,208	98,218	98,233	98,270	98,227	98,244	98,178	98,199	98,253	98,208	98,179	98,218	98,225	98,246	98,240	98,221	98,224	98,251	98,236	98,205	98,208	98,221	98,186	98,246	98,237	98,213	98,227	98,197	98,219	98,259	98,220	98,225	98,210	98,269	98,239	98,156	98,226	98,250	98,234	98,262	98,232	98,195	98,221	98,230	98,287	98,098	98,240	98,242	98,241	98,276	98,191	98,190	98,244	98,202	98,268	98,242	98,254	98,257	98,246	98,245	98,229	98,206	98,262	98,266	98,251	98,249	98,234	98,240	98,240	98,279	98,230	98,167	98,218	98,192	98,246	98,241	98,217	98,242	98,229	98,153	98,161	100,021
